Image,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2
,mrae,mrae,dE00,dE00,dE00_illuminant_A,dE00_illuminant_A,dE00_illuminant_D65,dE00_illuminant_D65,dE00_camera_sony,dE00_camera_sony,dE00_camera_nikon,dE00_camera_nikon,dE00_camera_canon,dE00_camera_canon,nse,nse,mrae,mrae,dE00,dE00,dE00_illuminant_A,dE00_illuminant_A,dE00_illuminant_D65,dE00_illuminant_D65,dE00_camera_sony,dE00_camera_sony,dE00_camera_nikon,dE00_camera_nikon,dE00_camera_canon,dE00_camera_canon,nse,nse,mrae,mrae,dE00,dE00,dE00_illuminant_A,dE00_illuminant_A,dE00_illuminant_D65,dE00_illuminant_D65,dE00_camera_sony,dE00_camera_sony,dE00_camera_nikon,dE00_camera_nikon,dE00_camera_canon,dE00_camera_canon,nse,nse
,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9
"test_images/2019-09-02_017.h5
",0.532479492539808,2.242975906128545,0.0023365576663824284,0.0067363644761775435,0.016525724965390964,0.045739213254933034,0.0023365576663824275,0.0067363644761775435,0.015617714141644654,0.048726600123560344,0.014036319653774562,0.03675082223916903,0.010750154847789862,0.02528290738758721,0.4967783712149635,1.2534594160015329,0.3966725899732833,1.1236308558105044,0.0022899924418864014,0.006968614292611495,0.01584949117377862,0.043775602901027014,0.002289992441886401,0.006968614292611495,0.01302210685120018,0.04388254703839322,0.012973723731138137,0.03701509747917867,0.009207033235011274,0.023666200563736247,0.27054626008837535,1.2311931668931568,0.33182384288100913,0.8968972368024205,0.00219402372436215,0.006680177992023143,0.015650325992616336,0.04374644486788252,0.0021940237243621495,0.006680177992023143,0.0122554254294301,0.04193928719578499,0.012579616408424352,0.0368433642233149,0.008686732884825287,0.023558565635104195,1.2294476841819024,1.8851202823761823
"test_images/2019-09-02_018.h5
",0.5633554465369722,2.321596255157338,0.0022738049255867734,0.009133866967448312,0.010895841884182451,0.0419180451331315,0.0022738049255867712,0.009133866967448312,0.013274472329150869,0.028251695595784783,0.008444134199931598,0.027816423628589125,0.007168728926940569,0.020748324439028656,0.5633999186289189,1.4033738927380115,0.33259772269937976,1.1290534744868639,0.0020120763144294658,0.009201925631976516,0.009136050847075694,0.043299889680488216,0.0020120763144294645,0.009201925631976516,0.009161526200798065,0.03040902968482392,0.007034586479932226,0.028157820718010314,0.005457009057430334,0.021627966687517836,0.31463692903651064,1.4024685363450322,0.22868141549394755,0.6627407967655287,0.0019800432360644908,0.00860517078475966,0.008407928348567507,0.04376082350764227,0.001980043236064489,0.00860517078475966,0.007270934475428096,0.032119146099393335,0.006583554111280478,0.027713233690128,0.004813518176790935,0.021478247821013534,1.187974893418031,2.0011262502769562
