Image,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 0.5,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 1,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2,Exp 2
,mrae,mrae,dE00,dE00,dE00_illuminant_A,dE00_illuminant_A,dE00_illuminant_D65,dE00_illuminant_D65,dE00_camera_sony,dE00_camera_sony,dE00_camera_nikon,dE00_camera_nikon,dE00_camera_canon,dE00_camera_canon,nse,nse,mrae,mrae,dE00,dE00,dE00_illuminant_A,dE00_illuminant_A,dE00_illuminant_D65,dE00_illuminant_D65,dE00_camera_sony,dE00_camera_sony,dE00_camera_nikon,dE00_camera_nikon,dE00_camera_canon,dE00_camera_canon,nse,nse,mrae,mrae,dE00,dE00,dE00_illuminant_A,dE00_illuminant_A,dE00_illuminant_D65,dE00_illuminant_D65,dE00_camera_sony,dE00_camera_sony,dE00_camera_nikon,dE00_camera_nikon,dE00_camera_canon,dE00_camera_canon,nse,nse
,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9,Mean,Pt99.9
"test_images/2019-09-02_017.h5
",1.0,1.0,0.14494611147399297,0.2550774263507585,0.17446073868651693,0.3218519446676063,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.9999946632559323,0.9999988492331804,1.0,1.0,0.14494611147399297,0.2550774263507585,0.17446073868651693,0.3218519446676063,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.9999946632559323,0.9999988492331804,1.0,1.0,0.14494611147399297,0.2550774263507585,0.17446073868651693,0.3218519446676063,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.14494611147399297,0.2550774263507585,0.9999946632559323,0.9999988492331804
